variable,cycle,table,raw_name,weight,description,category,in_dataset,units,chemical_family
ALQ111,2017-2018,ALQ_J,,,Had at least 1 alcohol drinks/lifetime?,Alcohol Use,Questionnaire,NA,NA
ALQ120Q,1999-2000,ALQ,,,How often drink alcohol over past 12 mos,Alcohol Use,Questionnaire,NA,NA
ALQ120Q,2001-2002,ALQ_B,,,How often drink alcohol over past 12 mos,Alcohol Use,Questionnaire,NA,NA
ALQ120Q,2003-2004,ALQ_C,,,How often drink alcohol over past 12 mos,Alcohol Use,Questionnaire,NA,NA
ALQ120Q,2005-2006,ALQ_D,,,How often drink alcohol over past 12 mos,Alcohol Use,Questionnaire,NA,NA
ALQ120Q,2007-2008,ALQ_E,,,How often drink alcohol over past 12 mos,Alcohol Use,Questionnaire,NA,NA
ALQ120Q,2009-2010,ALQ_F,,,How often drink alcohol over past 12 mos,Alcohol Use,Questionnaire,NA,NA
ALQ120Q,2011-2012,ALQ_G,,,How often drink alcohol over past 12 mos,Alcohol Use,Questionnaire,NA,NA
ALQ120Q,2013-2014,ALQ_H,,,How often drink alcohol over past 12 mos,Alcohol Use,Questionnaire,NA,NA
ALQ120Q,2015-2016,ALQ_I,,,How often drink alcohol over past 12 mos,Alcohol Use,Questionnaire,NA,NA
ALQ120Q,2017-2018,ALQ_J,ALQ121,,How often drink alcohol over past 12 mos,Alcohol Use,Questionnaire,NA,NA
ALQ120U,1999-2000,ALQ,,,Unit of measurement for how often drink alcohol over past 12 mos,Alcohol Use,Questionnaire,NA,NA
ALQ120U,2001-2002,ALQ_B,,,Unit of measurement for how often drink alcohol over past 12 mos,Alcohol Use,Questionnaire,NA,NA
ALQ120U,2003-2004,ALQ_C,,,Unit of measurement for how often drink alcohol over past 12 mos,Alcohol Use,Questionnaire,NA,NA
ALQ120U,2005-2006,ALQ_D,,,Unit of measurement for how often drink alcohol over past 12 mos,Alcohol Use,Questionnaire,NA,NA
ALQ120U,2007-2008,ALQ_E,,,Unit of measurement for how often drink alcohol over past 12 mos,Alcohol Use,Questionnaire,NA,NA
ALQ120U,2009-2010,ALQ_F,,,Unit of measurement for how often drink alcohol over past 12 mos,Alcohol Use,Questionnaire,NA,NA
ALQ120U,2011-2012,ALQ_G,,,Unit of measurement for how often drink alcohol over past 12 mos,Alcohol Use,Questionnaire,NA,NA
ALQ120U,2013-2014,ALQ_H,,,Unit of measurement for how often drink alcohol over past 12 mos,Alcohol Use,Questionnaire,NA,NA
ALQ120U,2015-2016,ALQ_I,,,Unit of measurement for how often drink alcohol over past 12 mos,Alcohol Use,Questionnaire,NA,NA
ALQ121,2017-2018,ALQ_J,,,"During the past 12 months, about how often did {you/SP} drink any type of alcoholic beverage?
PROBE: How many days per week, pe",Alcohol Use,Q,,
ALQ130,1999-2000,ALQ,,,Avg # alcoholic drinks/day -past 12 mos,Alcohol Use,Questionnaire,NA,NA
